JJ O3o O3p TEMPE RMH2O NO2 STATION FF
S 142 179.4 22.8 0.00847 2.518 Pla 7.0456
S 164 252.1 23 0.0098 2.234 Pla 4.9649
F 155 195.9 23.6 0.0098 1.723 Pla 4.5222
S 129 197.4 24 0.01267 0.54 Pla 1.0817
S 125 195.7 24.1 0.01168 1.213 Pla 3.4409
S 133 197.4 23.2 0.0139 1.179 Pla 2.4042
S 116 180.8 23.3 0.01097 1.227 Pla 3.6797
S 105 167.7 22.8 0.01103 0.414 Pla 5.728
F 112 164.1 23.3 0.00947 0.419 Pla 5.1865
F 104 172.8 25 0.00876 0.628 Pla 4.7707
S 114 146.7 25.9 0.00813 0.672 Pla 5.794
S 165 145.4 26 0.00867 0.561 Pla 6.0959
S 76 156.5 22.6 0.01206 1.458 Pla 5.3852
S 125 117.3 21.6 0.00953 1.468 Pla 11.8714
S 95 98.2 21.1 0.00506 0.709 Pla 19.3349
F 137 126.6 22.8 0.00623 0.992 Pla 5.5902
F 105 191.3 23.7 0.01076 2.188 Pla 3.9962
S 78 150.9 20.1 0.01262 1.139 Pla 4.3417
S 66 116.2 20.9 0.00968 1.526 Pla 12.054
S 92 153.1 21.4 0.00648 3.069 Pla 12.1314
F 114 166.7 19.6 0.00675 2.444 Pla 12.0304
F 65 170.5 20.6 0.00826 1.573 Pla 4.9769
S 141 193.8 23.6 0.00802 1.913 Pla 3.9205
S 169 205.4 22.4 0.00774 2.084 Pla 6.9721
S 143 189.7 21 0.01334 0.634 Pla 3.1401
F 132 182.9 21.9 0.00916 0.913 Pla 5.5973
S 144 171.6 22.4 0.00886 0.43 Pla 5.728
F 125 180.2 24.4 0.00991 0.536 Pla 5.6859
F 142 284.7 28.5 0.00729 2.282 Pla 4.14
S 104 206.4 20.6 0.01183 1.639 Pla 3.1953
S 84 127.1 22.2 0.0085 2.057 Pla 14.0417
S 118 118.2 25.8 0.00383 1.772 Pla 16.2373
S 84 108.8 26.4 0.00615 0.778 Pla 17.0294
S 129 132.1 25.5 0.00352 1.425 Pla 14.9241
F 113 208.9 22.2 0.00731 5.804 Pla 9.0139
F 79 168.8 22.4 0.00954 0.427 Pla 5.3254
S 102 161.3 22.7 0.01198 0.625 Pla 5.3235
S 104 163.3 24.1 0.00927 0.28 Pla 4.3012
S 117 162.9 25 0.00982 0.894 Pla 6.1847
S 117 165.3 25.7 0.00985 1.235 Pla 7.0328
S 110 179.1 25.3 0.01206 2.3 Pla 7.1694
F 114 160.5 24.9 0.0077 3.407 Pla 10.4652
F 111 137.1 22.2 0.00473 3.801 Pla 11.8119
S 103 180.7 24.6 0.00605 4.663 Pla 7.3348
S 107 173.8 20.2 0.01053 1.557 Pla 5.0448
S 105 142.3 22.7 0.00795 1.04 Pla 17.3234
S 106 138.4 22.8 0.00491 1.048 Pla 17.6011
S 128 122.7 25.8 0.00465 3.337 Pla 7.8
F 93 120 25.9 0.00508 0.691 Pla 16.7108
F 77 91.3 22.6 0.00646 0.627 Pla 19.1024
S 104 146 19.1 0.01101 1.152 Pla 6.456
S 112 130.5 19.8 0.00735 0.598 Pla 6.5924
S 121 200.2 18.3 0.01275 1.159 Pla 4.1183
S 105 123 24.7 0.00461 0.928 Pla 13.1522
F 96 106.2 23.9 0.00573 1.745 Pla 12.567
F 94 107.1 22.8 0.00705 1.837 Pla 11.5447
S 98 139.9 21.6 0.00551 0.754 Pla 5.7079
S 111 152.3 21.9 0.01036 4.564 Pla 7.506
F 73 123.5 18.6 0.00624 4.207 Pla 8
F 78 159.1 16.1 0.0084 2.913 Pla 6.382
S 83 145.3 19.5 0.00881 0.911 Pla 17.3658
S 73 119.2 21.8 0.00455 0.663 Pla 16.1276
S 115 174.6 20.3 0.00928 3.168 Pla 5.5362
S 100 119.8 19.4 0.00676 0.657 Pla 6.5
S 89 149.4 22.6 0.00801 5.316 Pla 7.931
F 70 148 18.8 0.00914 4.143 Pla 3.0017
F 104 123 18.1 0.01358 0.71 Pla 2.4739
S 122 208.4 21.2 0.01111 3.13 Pla 3.0265
S 119 208.3 22.6 0.01095 2.673 Pla 3.4785
S 110 159.9 22.9 0.00687 1.978 Pla 4.5277
S 94 131.2 20.8 0.00989 0.558 Pla 5.3759
S 104 195.2 23.7 0.00965 1.6 Pla 3.759
F 100 175.6 23.7 0.00949 1.447 Pla 4.9031
F 90 140.5 22.3 0.00821 0.415 Pla 4.982
S 89 162.6 19.2 0.00955 1.674 Pla 16.6652
S 77 103.7 17.1 0.0126 0.73 Pla 16.676
S 68 106.7 16.6 0.01243 0.915 Pla 17.2308
S 65 123 16.3 0.01161 0.756 Pla 3.7947
F 77 130.3 17.3 0.01306 0.814 Pla 5.7706
S 74 124.1 17.8 0.00763 6.437 Pla 7.1063
S 80 134.5 16.3 0.01075 1.477 Pla 3.6056
S 93 177.3 20.4 0.00928 5.375 Pla 5.9908
S 116 233.6 22.1 0.01048 4.843 Pla 4.8052
S 60 162.5 15.8 0.00789 3.166 Pla 2.7203
S 74 198.4 16.2 0.00811 8.349 Pla 4.0311
S 121 191.7 16.4 0.00722 2.101 Pla 3.8
F 93 221.2 16.7 0.00919 2.29 Pla 2.3022
